"band","site","mb_side","recap","sex","how_sexed","initials","date_captured","rwl1","rwl2","rwl3","intact_lts","intact_rts","lts1","lts2","lts3","rts1","rts2","rts3","mass_1","mass_2","mass_2_date","mass_3","mass_3_date","color_top","color_bottom","mb_tape","cb_side","lysis","amount","notes_1","nest_1","old_new_1","mate_band_1","ci_1","eggs_1","hatched_1","day_12_1","nest_fate_1","success_1","nest_2","old_new_2","mate_band_2","ci_2","eggs_2","hatched_2","day_12_2","nest_fate_2","success_2","notes_2","nest_3","old_new_3","mate_band_3","ci_3","eggs_3","hatched_3","day_12_3","nest_fate_3","success_3","notes_3","nest_4","old_new_4","mate_band_4","ci_4","eggs_4","hatched_4","day_12_4","nest_fate_4","success_4","notes_4","throat_avg_bright","throat_chroma","throat_hue","throat_total_bright","breast_avg_bright","breast_chroma","breast_hue","breast_total_bright","belly_avg_bright","belly_chroma","belly_hue","belly_total_bright","vent_avg_bright","vent_chroma","vent_hue","vent_total_bright","bird_notes","adult_manipulated","adult_treatment","nest_manipulated","nest_treatment","body_feathers","mass_4_date","mass_4","year","julian_ci_1","julian_ci_2","julian_ci_3","julian_ci_4","mean_rwl","mean_rts","mean_lts","adult_manipulation_date","nest_manipulation_date","additional_data","mass","morph_date","plasma","julian_date_captured","paint_left","paint_right","single_cb_color","cb_tape","total_rs","plasma_date","mass_5_date","mass_5","date_feather"
"2350-21085","Make Believe","R","Y","M","CP","RS",2022-06-02,119,119,119,"N","Y",NA,NA,NA,84.5,84.5,84.5,18.2,NA,NA,NA,NA,"Dk Green","Pink","NONE","L","Y","02-Jan","","73","old","2640-97596","2022-05-16","5","5","5","fledged","Y","73.2","old","2640-97596","2022-07-05","5","5","5","fledged","Y","",NA,"","",NA,NA,NA,NA,"","","",NA,"","",NA,NA,NA,NA,"","",NA,9.637572283,0.565814715,678.4426667,19332.97,28.84809571,0.4595684,575.396,"57869.28",35.25318711,0.41933404,600.3766667,70717.89333,28.30530741,0.481670083,649.4673333,56780.44667,"; ; caught in side nest near nest 73","N",NA,"N","","Y",NA,NA,2022,"136","186",NA,NA,119,84.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2350-21096","Golden Grizzly","R","Y","F","BP","RJS",2022-07-14,116,116,116,"N","Y",NA,NA,NA,77.5,77.5,77.5,18.6,NA,NA,NA,NA,"Pink","Orange","NONE","L","Y","08-Jan","","","","",NA,"","","","","","","","",NA,NA,NA,"","","","",NA,"","",NA,NA,NA,NA,"","","",NA,"","",NA,NA,NA,NA,"","",NA,11.42890495,0.511629438,676.7883333,22926.38333,23.14585743,0.444570382,607.6966667,"46430.59",25.46271186,0.467299082,657.126,51078.2,21.91368893,0.455467631,643.1063333,43958.86,"; ; ","N",NA,"N","","Y",NA,NA,2022,NA,NA,NA,NA,116,77.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2600-54932","Cargill","R","Y","M","CP","IJM",2022-07-11,121,121,121,"Y","Y",90.5,90.5,90.5,91,91,91,19.33,NA,NA,NA,NA,"Lt Blue","Black","NONE","L","Y","02-Jan","","","","",NA,"","","","","","","","",NA,NA,NA,"","","","",NA,"","",NA,NA,NA,NA,"","","",NA,"","",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"; ; ","N",NA,"N","","Y",NA,NA,2022,NA,NA,NA,NA,121,91,90.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2640-97331","Colorado Horse Rescue","R","Y","F?","BP","HKD",2022-06-17,119,119,119,"Y","Y",79,79,79,80,80,79.5,16.76,NA,NA,NA,NA,"Orange","Black","NONE","L","Y","04-Jan","estimated CI","29","old","2850-57808","2022-05-18","5","5","4","fledged","Y","27","old","2850-57808","2022-07-05","4","4","4","fledged","Y","",NA,"","",NA,NA,NA,NA,"","","",NA,"","",NA,NA,NA,NA,"","",NA,9.83579096,0.544014282,674.104,19730.59667,18.81945995,0.511323939,633.7533333,"37751.83667",19.5594101,0.486640052,616.7373333,39236.17667,18.82038717,0.496634551,652.7723333,37753.69667,"mud on bill; ; ","N",NA,"N","","Y",NA,NA,2022,"138","186",NA,NA,119,79.83333333,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2640-97358","Colorado Horse Rescue","R","Y","F","BP","HKD",2022-06-17,115,115,115,"Y","Y",76.5,76.5,76.5,73,73,73,16.83,NA,NA,NA,NA,"Yellow","Lt Green","NONE","L","Y","05-Jan","estimated CI","32","old","2850-57731","2022-05-13","5","5","5","fledged","Y","109","old","2850-57731","2022-07-01","4","0","0","unhatched","N","","32.2","old","2850-57731","2022-08-11",3,"3","2","fledged","Y","",NA,"","",NA,NA,NA,NA,"","",NA,13.77641409,0.537489733,659.167,27635.48667,19.740555,0.495234064,642.151,"39599.55333",21.14287305,0.469501946,651.4403333,42412.60333,22.67428049,0.46988128,671.7466667,45484.60667,"; ; ","N",NA,"N","","Y",NA,NA,2022,"133","182",223,NA,115,73,76.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2640-97548","Blue Cloud","R","Y","M","CP","APP",2022-05-06,120,120,120,"Y","Y",77,77.5,77,80,80,79.5,20,19.33,"2022-06-13",NA,NA,"White","Black","White","L","Y","02-Jan","male at nest 18(?)","18","old","2850-57612","2022-05-11","5","5","5","fledged","Y","21","old","2850-57612","2022-06-27","5","5","5","fledged","Y","",NA,"","",NA,NA,NA,NA,"","","",NA,"","",NA,NA,NA,NA,"","",NA,8.556945829,0.558975656,675.7926667,17165.23333,16.23411599,0.513907415,647.108,"32565.63667",13.59760386,0.499036814,680.1246667,27276.79333,18.35999003,0.513099679,677.3806667,36830.14,"very dark plumage; ; ","N",NA,"N","","Y",NA,NA,2022,"131","178",NA,NA,120,79.83333333,77.16666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2640-97588","Colorado Horse Rescue","L","Y","M","CP","RJS",2022-07-11,119,119,119,"Y","Y",85,85,85,87,87,87,18.7,18.94,"2022-07-21",NA,NA,"Lt Blue","DK Green","NONE","R","Y","02-Jan","estimated CI","93","old","2850-57730","2022-05-14","5","5","5","fledged","Y","93.2","old","2850-57730","2022-07-01","5","4","4","fledged","Y","",NA,"","",NA,NA,NA,NA,"","","",NA,"","",NA,NA,NA,NA,"","",NA,11.85018943,0.544837496,653.7273333,23771.48,14.45612662,0.507893605,610.6836667,"28998.99",21.21705716,0.471668493,610.6836667,42561.41667,27.50362745,0.462396686,637.0386667,55172.27667,"; ; ","N",NA,"N","","Y",NA,NA,2022,"134","182",NA,NA,119,87,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2640-97589","Colorado Horse Rescue","R","Y","M","CP","RS",2022-06-17,119,119,119,"Y","Y",98,98,98,99.5,99.5,100,16.1,NA,NA,NA,NA,"Black","White","NONE","L","Y","03-Jan","ci estimated","102","old","2811-38984","2022-05-16","5","3","3","fledged","Y","102.2","old","2811-38984","2022-07-04","5","4","4","fledged","Y","",NA,"","",NA,NA,NA,NA,"","","",NA,"","",NA,NA,NA,NA,"","",NA,11.8153556,0.523609389,681.183,23701.60333,16.91354271,0.528785659,657.7393333,"33928.56667",18.6526321,0.480672665,627.3723333,37417.18,20.65218677,0.48363622,650.113,41428.28667,"tail streamers curled; ; ","N",NA,"N","","Y",NA,NA,2022,"136","185",NA,NA,119,99.66666667,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2640-97596","Make Believe","R","Y","F","BP","HKD",2022-06-02,114,114.5,114,"Y","Y",74,74,74,75,75,75,19.6,NA,NA,NA,NA,"Dk Blue","Orange","NONE","L","Y","02-Jan","","73","old","2350-21085","2022-05-16","5","5","5","fledged","Y","73.2","old","2350-21085","2022-07-05","5","5","5","fledged","Y","",NA,"","",NA,NA,NA,NA,"","","",NA,"","",NA,NA,NA,NA,"","",NA,14.9893104,0.547060066,678.131,30068.55667,28.48857095,0.481209825,658.7613333,"57148.07333",30.15,0.434089165,634.778,60480.9,26.80653706,0.460644426,605.0816667,53773.91333,"; ; ","N",NA,"N","","Y",NA,NA,2022,"136","186",NA,NA,114.1666667,75,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2811-00632","Ericas","R","Y","M","TS","ASF",2022-06-10,126,126,126,"N","Y",98,98,98,101,101,101.5,19.7,NA,NA,NA,NA,"Red","Lt Blue","NONE","L","Y","02-Jan","Ci estimated","1","old?","2850-57741","2022-05-22","3","3","0","predated","N","2","old","2850-57741","2022-06-23","4","4","0","failed","N","CI estimated; chicks likely died from heat","3","old","2850-57741","2022-07-24",5,"2","0","predated","N","",NA,"","",NA,NA,NA,NA,"","",NA,11.03612994,0.517956527,679.1123333,22138.47667,26.50972915,0.471404514,645.758,"53178.51667",20.39357095,0.521280226,636.7283333,40909.50333,17.89136923,0.493827328,680.3963333,35890.08667,"; ; ","N",NA,"N","","Y",NA,NA,2022,"142","174",205,NA,126,101.1666667,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
